Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
21,35,53,59,57,309
21,35,53,59,57,310
21,35,53,59,57,311
21,35,53,59,57,312
21,35,53,59,57,313
21,35,53,59,57,314
21,35,53,59,57,315
21,35,53,59,57,316
21,35,53,59,57,317
21,35,53,59,57,318
21,35,53,59,57,319
21,35,53,59,57,320
21,35,53,59,57,321
21,35,53,59,57,322
21,35,53,59,57,323
21,35,53,59,57,324
21,35,53,59,57,325
21,35,53,59,57,326
21,35,53,59,57,327
21,35,53,59,57,328
21,35,53,59,57,329
21,35,53,59,57,330
21,35,53,59,57,331
21,35,53,59,57,332
21,35,53,59,57,333
21,35,53,59,57,334
21,35,53,59,57,335
21,35,53,59,57,336
21,35,53,59,57,337
21,35,53,59,57,338
21,35,53,59,57,339
21,35,53,59,57,340
21,35,53,59,57,341
21,35,53,59,57,342
21,35,53,59,57,343
21,35,53,59,57,344
21,35,53,59,57,345
21,35,53,59,57,346
21,35,53,59,57,347
21,35,53,59,57,348
21,35,53,59,57,349
21,35,53,59,57,350
21,35,53,59,57,351
21,35,53,59,57,352
21,35,53,59,57,353
21,35,53,59,57,354
21,35,53,59,57,355
21,35,53,59,57,356
21,35,53,59,57,357
21,35,53,59,57,358
21,35,53,59,57,359
21,35,53,59,57,360
21,35,53,59,57,361
21,35,53,59,57,362
21,35,53,59,57,363
21,35,53,59,57,364
21,35,53,59,57,365
21,35,53,59,57,366
21,35,53,59,57,367
21,35,53,59,57,368
21,35,53,59,57,369
21,35,53,59,57,370
21,35,53,59,57,371
21,35,53,59,57,372
21,35,53,59,57,373
21,35,53,59,57,374
21,35,53,59,57,375
21,35,53,59,57,376
21,35,53,59,57,377
21,35,53,59,57,378
21,35,53,59,57,379
21,35,53,59,57,380
21,35,53,59,57,381
21,35,53,59,57,382
21,35,53,59,57,383
21,35,53,59,57,384
21,35,53,59,57,385
21,35,53,59,57,386
21,35,53,59,57,387
21,35,53,59,57,388
21,35,53,59,57,389
21,35,53,59,57,390
21,35,53,59,57,391
21,35,53,59,57,392
21,35,53,59,57,393
21,35,53,59,57,394
21,35,53,59,57,395
21,35,53,59,57,396
21,35,53,59,57,397
21,35,53,59,57,398
21,35,53,59,57,399
